Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
25-April-2013,63.45,63.75,62.05,63.45,63.523809523809523809,1050,28,66700.00,945,90.00,1.70,0.00
23-April-2013,63.05,64.05,63.00,63.85,63.230899113550021105,2369,68,149794.00,570,24.06,1.05,0.80
22-April-2013,62.80,65.25,56.20,62.70,62.557256847099417726,4637,161,290078.00,2656,57.28,9.05,-0.10
18-April-2013,66.30,66.30,63.60,63.75,65.226866883116883116,2464,79,160719.00,1325,53.77,2.70,-2.55
17-April-2013,65.80,67.75,65.55,66.15,66.244666868870690526,9891,220,655226.00,3440,34.78,2.20,0.35
16-April-2013,62.35,64.00,62.05,63.70,63.176328502415458937,414,18,26155.00,293,70.77,1.95,1.35
15-April-2013,62.00,62.85,62.00,62.35,62.125609756097560975,820,21,50943.00,400,48.78,0.85,0.35
12-April-2013,61.50,62.25,53.80,61.60,60.215538847117794486,399,26,24026.00,116,29.07,8.45,0.10
11-April-2013,67.00,67.00,62.80,63.00,63.349668874172185430,2265,46,143487.00,1604,70.82,4.20,-4.00
10-April-2013,62.65,67.00,61.55,64.80,64.151471436814772071,3466,115,222349.00,857,24.73,5.45,2.15
9-April-2013,65.00,65.80,62.40,62.75,63.750000000000000000,628,55,40035.00,343,54.62,3.40,-2.25
8-April-2013,62.45,65.80,62.45,64.75,64.047832524471497902,24314,229,1557259.00,19417,79.86,3.35,2.30
5-April-2013,61.75,61.75,60.75,61.00,61.141482194417709335,1039,37,63526.00,841,80.94,1.00,-0.75
4-April-2013,64.50,64.50,61.60,62.75,62.842931937172774869,764,45,48012.00,338,44.24,2.90,-1.75
3-April-2013,63.50,70.95,63.50,64.85,67.359060855485089731,22233,705,1497594.00,2815,12.66,7.45,1.35
2-April-2013,61.35,63.90,61.05,63.45,62.678296654142064770,5589,137,350309.00,1046,18.72,2.85,2.10
1-April-2013,60.30,62.35,59.10,61.85,61.452436194895591647,1293,36,79458.00,1060,81.98,3.25,1.55
28-March-2013,57.00,58.50,56.10,58.30,57.955864570737605804,1654,47,95859.00,980,59.25,2.40,1.30
26-March-2013,57.35,57.40,56.00,56.30,56.348668280871670702,1239,43,69816.00,1139,91.93,1.40,-1.05
25-March-2013,65.65,65.65,57.05,57.70,58.398305084745762711,2242,56,130929.00,842,37.56,8.60,-7.95
22-March-2013,61.80,61.95,58.50,59.00,59.801056338028169014,1136,56,67934.00,545,47.98,3.45,-2.80
21-March-2013,62.60,67.00,61.05,61.70,63.325965177895533686,6605,210,418268.00,1118,16.93,5.95,-0.90
20-March-2013,61.00,61.00,59.30,61.00,59.981008513425016371,1527,50,91591.00,950,62.21,1.70,0.00
19-March-2013,63.15,64.00,60.80,61.25,62.843412526997840172,926,27,58193.00,590,63.71,3.20,-1.90
18-March-2013,63.90,64.00,63.45,63.50,63.600000000000000000,5,5,318.00,0,0.00,0.55,-0.40
15-March-2013,66.05,66.85,64.70,64.75,65.316421895861148197,749,52,48922.00,515,68.76,2.15,-1.30
14-March-2013,65.05,66.50,65.05,65.75,65.985673352435530085,349,26,23029.00,240,68.77,1.45,0.70
13-March-2013,65.15,67.05,65.10,66.20,66.110169491525423728,590,65,39005.00,425,72.03,1.95,1.05
12-March-2013,66.75,67.90,65.50,67.05,66.702479338842975206,2057,46,137207.00,1095,53.23,2.40,0.30
11-March-2013,66.10,67.25,65.95,66.10,66.561957018747142203,2187,76,145571.00,1590,72.70,1.30,0.00
8-March-2013,66.00,66.75,65.55,65.85,66.075386597938144329,3104,77,205098.00,1671,53.83,1.20,-0.15
7-March-2013,67.40,67.45,65.00,65.75,66.334073251942286348,901,39,59767.00,739,82.02,2.45,-1.65
6-March-2013,66.70,68.00,66.10,67.40,67.474800245851259987,6508,119,439126.00,2362,36.29,1.90,0.70
5-March-2013,62.70,65.80,62.65,65.00,64.352713178294573643,774,35,49809.00,310,40.05,3.15,2.30
4-March-2013,62.20,63.00,62.20,62.60,62.621951219512195121,656,78,41080.00,618,94.21,0.80,0.40
1-March-2013,64.85,69.65,60.55,64.00,64.553499132446500867,3458,207,223226.00,389,11.25,9.10,-0.85
28-February-2013,68.70,69.85,62.00,65.00,67.242882338120433358,3969,122,266887.00,2449,61.70,7.85,-3.70
27-February-2013,70.80,70.90,67.10,67.55,67.737691001697792869,1178,46,79795.00,903,76.66,3.80,-3.25
26-February-2013,71.90,71.90,68.70,69.00,70.064516129032258064,1519,67,106428.00,829,54.58,3.20,-2.90
25-February-2013,72.40,74.20,72.00,72.70,72.792995169082125603,4140,60,301363.00,1770,42.75,2.20,0.30
22-February-2013,72.45,73.20,72.40,72.55,72.867807893485496909,2103,35,153241.00,1977,94.01,0.80,0.10
21-February-2013,74.45,74.50,72.60,72.95,73.300278432212465195,4669,59,342239.00,2390,51.19,1.90,-1.50
20-February-2013,74.55,75.20,74.50,74.55,74.600931677018633540,644,10,48043.00,642,99.69,0.70,0.00
19-February-2013,74.70,75.30,74.05,74.90,74.538205980066445182,1806,63,134616.00,482,26.69,1.25,0.20
18-February-2013,74.15,76.30,73.80,74.95,75.176080184206961939,7383,163,555025.00,2197,29.76,2.50,0.80
15-February-2013,74.50,76.90,72.25,74.00,74.898930817610062893,15900,250,1190893.00,4682,29.45,4.65,-0.50
14-February-2013,75.00,76.25,73.70,73.95,75.184518451845184518,8888,175,668240.00,3758,42.28,2.55,-1.05
13-February-2013,74.45,76.00,71.00,74.00,73.803758020164986251,10910,187,805199.00,4612,42.27,5.00,-0.45
12-February-2013,73.25,74.85,72.50,74.40,73.860129776496034607,2774,79,204888.00,1278,46.07,2.35,1.15
11-February-2013,74.70,75.50,72.80,73.05,74.007835171213000580,3446,68,255031.00,2569,74.55,2.70,-1.65
8-February-2013,75.55,78.65,74.15,74.85,76.293445470335496846,10939,225,834574.00,2804,25.63,4.50,-0.70
7-February-2013,75.35,80.35,74.00,75.35,76.702529325513196480,10912,214,836978.00,1553,14.23,6.35,0.00
6-February-2013,77.95,77.95,75.80,76.45,76.463350785340314136,3056,47,233672.00,2569,84.06,2.15,-1.50
5-February-2013,77.75,78.05,74.75,76.60,76.335815047021943573,5104,135,389618.00,1589,31.13,3.30,-1.15
4-February-2013,80.00,80.00,77.65,78.05,78.246674057649667405,3608,76,282314.00,2340,64.86,2.35,-1.95
1-February-2013,80.00,81.50,79.20,79.70,80.170775842569554399,4421,101,354435.00,2510,56.77,2.30,-0.30
31-January-2013,81.20,82.00,79.00,79.40,79.517327617006073597,5598,121,445138.00,2913,52.04,3.00,-1.80
30-January-2013,81.65,83.55,80.50,81.70,82.442467056106507268,7361,162,606859.00,2077,28.22,3.05,0.05
29-January-2013,84.30,87.50,80.50,81.45,82.285507665606016777,3457,107,284461.00,1977,57.19,7.00,-2.85
28-January-2013,82.00,85.00,82.00,82.45,83.753623188405797101,10833,305,907303.00,2992,27.62,3.00,0.45
25-January-2013,81.00,83.50,80.40,81.55,81.992001938923897237,8252,197,676598.00,2831,34.31,3.10,0.55
24-January-2013,85.20,85.20,80.20,81.60,83.138960370560988162,5829,142,484617.00,3688,63.27,5.00,-3.60
23-January-2013,86.05,86.70,85.00,85.20,85.714003294892915980,3035,83,260142.00,1431,47.15,1.70,-0.85
22-January-2013,88.20,90.90,86.15,86.55,88.931906614785992217,48316,842,4296834.00,5587,11.56,4.75,-1.65
21-January-2013,86.20,87.40,85.50,85.90,86.230699909882847702,3329,79,287062.00,1512,45.42,1.90,-0.30
18-January-2013,87.00,87.35,85.00,85.90,86.100230414746543778,3472,109,298940.00,1448,41.71,2.35,-1.10
17-January-2013,88.00,88.00,86.30,86.45,87.096926059263361949,3611,66,314507.00,1759,48.71,1.70,-1.55
16-January-2013,87.95,88.60,87.00,87.00,87.406389633601429848,4476,104,391231.00,2925,65.35,1.60,-0.95
15-January-2013,88.70,89.50,88.20,88.35,88.814092953523238380,4002,109,355434.00,1845,46.10,1.30,-0.35
14-January-2013,89.10,91.40,88.25,88.75,89.779399109514722939,26727,426,2399534.00,4537,16.98,3.15,-0.35
11-January-2013,88.60,89.90,87.00,87.45,87.683529411764705882,5100,179,447186.00,2504,49.10,2.90,-1.15
10-January-2013,90.40,90.75,87.65,87.80,88.304034952454381906,3891,147,343591.00,1933,49.68,3.10,-2.60
9-January-2013,88.65,91.90,88.65,89.65,90.541646131099063578,26377,472,2388217.00,9240,35.03,3.25,1.00
8-January-2013,87.55,89.35,87.25,87.45,88.012262128115786652,14924,269,1313495.00,6290,42.15,2.10,-0.10
7-January-2013,89.00,89.35,87.40,88.00,88.413520316432937792,2781,86,245878.00,2096,75.37,1.95,-1.00
4-January-2013,88.80,89.55,87.75,89.25,89.047220005320563979,7518,200,669457.00,4218,56.11,1.80,0.45
3-January-2013,88.00,89.60,87.50,88.80,88.608206330597889800,4265,138,377914.00,2877,67.46,2.10,0.80
2-January-2013,89.15,89.45,88.10,88.45,88.622170561605285696,8173,203,724309.00,4699,57.49,1.35,-0.70
1-January-2013,88.20,89.50,87.35,87.75,88.288184438040345821,3123,117,275724.00,1659,53.12,2.15,-0.45
31-December-2012,88.50,88.50,87.00,87.40,87.759705882352941176,3400,60,298383.00,2234,65.71,1.50,-1.10
28-December-2012,87.60,91.90,87.50,87.60,88.808435438265786993,25464,414,2261418.00,4584,18.00,4.40,0.00
27-December-2012,87.00,87.00,85.15,85.50,85.790040376850605652,5201,77,446194.00,1999,38.43,1.85,-1.50
26-December-2012,86.30,88.30,85.85,86.00,86.793271635817908954,7996,286,693999.00,2105,26.33,2.45,-0.30
24-December-2012,86.30,88.60,85.00,85.35,86.531197301854974704,7709,182,667069.00,3151,40.87,3.60,-0.95
21-December-2012,88.00,88.00,85.50,85.80,86.333333333333333333,5643,154,487179.00,3556,63.02,2.50,-2.20
20-December-2012,88.20,88.40,87.25,87.35,87.518564356435643564,808,26,70715.00,534,66.09,1.15,-0.85
19-December-2012,89.25,92.00,87.60,88.10,89.721682356513817187,6586,119,590907.00,5297,80.43,4.40,-1.15
18-December-2012,87.90,90.00,87.50,87.90,88.666734321087883093,4927,165,436861.00,1126,22.85,2.50,0.00
17-December-2012,89.90,90.95,87.00,87.65,88.423675023801967629,3151,117,278623.00,1260,39.99,3.95,-2.25
14-December-2012,88.00,89.90,86.10,88.30,88.486328322066390878,9911,253,876988.00,3508,35.40,3.80,0.30
13-December-2012,90.70,91.70,87.90,88.00,88.924764890282131661,11165,257,992845.00,5875,52.62,3.80,-2.70
12-December-2012,89.15,92.25,88.10,89.45,90.327438100050530570,29685,818,2681370.00,5212,17.56,4.15,0.30
11-December-2012,89.30,92.40,88.60,89.15,90.213775005704723511,26294,698,2372081.00,5394,20.51,3.80,-0.15
10-December-2012,90.45,90.45,88.50,89.00,89.447761194029850746,4958,114,443482.00,2593,52.30,1.95,-1.45
7-December-2012,92.90,93.80,89.50,89.90,91.291513468897726420,13327,400,1216642.00,4524,33.95,4.30,-3.00
6-December-2012,92.25,93.40,90.70,91.75,92.214082145850796311,29825,711,2750285.00,5965,20.00,2.70,-0.50
5-December-2012,93.35,94.65,90.80,91.30,92.294434021263289555,7995,126,737894.00,3166,39.60,3.85,-2.05
4-December-2012,93.65,96.05,91.70,92.10,93.821945259042033235,40920,1048,3839194.00,8187,20.01,4.35,-1.55
3-December-2012,91.00,97.40,91.00,92.65,94.412389328180151046,101426,1344,9575871.00,22521,22.20,6.40,1.65
30-November-2012,90.30,91.15,88.60,89.85,90.000304228780042592,6574,217,591662.00,2514,38.24,2.55,-0.45
29-November-2012,89.65,91.70,88.00,89.75,90.151975369865278122,48396,610,4362995.00,11546,23.86,3.70,0.10
27-November-2012,90.90,93.00,89.00,89.35,91.024922369641488889,24797,432,2257145.00,9532,38.44,4.00,-1.55
26-November-2012,87.00,92.40,86.80,89.40,90.468538660516720167,64174,1291,5805728.00,9354,14.58,5.60,2.40
23-November-2012,85.25,88.90,85.25,86.25,86.935355392156862745,3264,80,283757.00,1750,53.62,3.65,1.00
22-November-2012,86.80,87.25,84.65,85.20,85.889570552147239263,2934,100,252000.00,1595,54.36,2.60,-1.60
21-November-2012,86.85,87.95,85.60,86.10,86.820319849482596425,7441,246,646030.00,3175,42.67,2.35,-0.75
20-November-2012,89.10,89.10,85.25,85.80,86.529299252303947139,5751,144,497630.00,3624,63.02,3.85,-3.30
19-November-2012,89.00,90.40,87.10,87.65,88.562656641604010025,3990,118,353365.00,1900,47.62,3.30,-1.35
16-November-2012,94.50,94.65,88.75,89.30,91.478325923392612859,23392,545,2139861.00,9649,41.25,5.90,-5.20
15-November-2012,93.20,95.75,90.10,91.55,92.731065708726238587,26724,506,2478145.00,9387,35.13,5.65,-1.65
13-November-2012,92.35,95.35,85.70,93.90,93.394886942350784273,19636,372,1833902.00,8352,42.53,9.65,1.55
12-November-2012,90.10,94.90,90.10,91.90,93.248386211504730995,83809,1205,7815054.00,18928,22.58,4.80,1.80
9-November-2012,93.65,93.80,88.15,88.95,90.911927473967814752,27466,560,2496987.00,11438,41.64,5.65,-4.70
8-November-2012,87.50,94.00,87.50,92.65,91.930853007390294786,169682,2785,15599011.00,33308,19.63,6.50,5.15
7-November-2012,87.50,88.80,86.30,86.55,87.038641188959660297,11775,231,1024880.00,6655,56.52,2.50,-0.95
6-November-2012,86.80,89.45,85.00,86.90,87.553598389531957725,9935,290,869845.00,1947,19.60,4.45,0.10
5-November-2012,87.00,89.90,86.20,86.50,86.616013775290572535,2323,83,201209.00,1450,62.42,3.70,-0.50
2-November-2012,87.20,90.70,86.50,87.80,89.002617508221660439,44699,980,3978328.00,12192,27.28,4.20,0.60
1-November-2012,84.90,88.40,84.90,85.60,86.776344446305913888,11938,362,1035936.00,3805,31.87,3.50,0.70
31-October-2012,85.00,86.00,83.20,84.70,84.581119276427360090,5307,187,448872.00,2559,48.22,2.80,-0.30
30-October-2012,86.60,87.00,84.20,84.85,85.487804878048780487,5781,159,494205.00,2862,49.51,2.80,-1.75
29-October-2012,88.15,89.00,85.30,85.60,87.244639718804920913,5690,170,496422.00,3466,60.91,3.70,-2.55
26-October-2012,86.95,91.20,86.80,87.15,88.614667314230208839,10295,249,912288.00,4239,41.18,4.40,0.20
25-October-2012,89.30,89.50,87.95,88.05,88.667234664070107108,4108,126,364245.00,1907,46.42,1.55,-1.25
23-October-2012,90.65,90.65,88.75,89.05,89.517652453003209536,6543,169,585714.00,5047,77.14,1.90,-1.60
22-October-2012,91.90,92.20,89.60,90.05,90.740122520092171078,17793,339,1614539.00,10431,58.62,2.60,-1.85
19-October-2012,97.00,98.00,91.20,91.85,95.616094149752686338,146575,1545,14014929.00,27106,18.49,6.80,-5.15
18-October-2012,89.50,95.15,89.00,94.30,94.049348985698701974,99921,1410,9397505.00,20796,20.81,6.15,4.80
17-October-2012,93.00,93.00,85.15,88.05,88.581825066262779250,13205,403,1169723.00,6836,51.77,7.85,-4.95
16-October-2012,91.50,92.00,88.00,88.60,89.937559580552907530,14686,263,1320823.00,7568,51.53,4.00,-2.90
15-October-2012,92.40,92.85,90.50,90.85,91.466059602649006622,4832,157,441964.00,1406,29.10,2.35,-1.55
12-October-2012,91.40,93.85,90.60,90.95,91.917693912383842215,10546,290,969364.00,7005,66.42,3.25,-0.45
11-October-2012,94.50,94.50,91.30,92.25,92.502010050251256281,7960,236,736316.00,3564,44.77,3.20,-2.25
10-October-2012,97.40,98.00,91.60,92.55,95.285225509100315101,85052,1529,8104199.00,18430,21.67,6.40,-4.85
9-October-2012,92.80,95.75,92.05,94.10,93.906374582209157169,49666,774,4663954.00,20813,41.91,3.70,1.30
8-October-2012,89.55,96.00,89.00,91.60,94.029959684856789017,113853,1803,10705593.00,25290,22.21,7.00,2.05
5-October-2012,93.50,93.50,89.15,89.40,90.141452905137009358,14853,262,1338871.00,8471,57.03,4.35,-4.10
4-October-2012,94.20,94.95,92.05,92.20,93.828716953674508852,20615,358,1934279.00,8888,43.11,2.90,-2.00
3-October-2012,95.00,96.90,92.95,93.10,94.218708100007887057,25358,491,2389198.00,11604,45.76,3.95,-1.90
1-October-2012,95.25,97.90,93.40,93.90,94.115437534397358282,7268,195,684031.00,2686,36.96,4.50,-1.35
28-September-2012,96.00,96.65,94.00,94.30,95.029427501337613697,7476,252,710440.00,4180,55.91,2.65,-1.70
27-September-2012,96.25,98.00,94.15,94.50,95.844341145328943120,15489,414,1484533.00,6822,44.04,3.85,-1.75
26-September-2012,97.00,98.20,94.10,95.70,96.959944751381215469,14480,332,1403980.00,8378,57.86,4.10,-1.30
25-September-2012,98.80,100.35,95.60,96.15,98.604910138446985983,23258,459,2293353.00,8410,36.16,4.75,-2.65
24-September-2012,98.75,101.00,97.10,97.45,99.350968987896072399,44531,937,4424198.00,8051,18.08,3.90,-1.30
21-September-2012,98.90,101.20,96.25,96.85,99.067347700842846473,37492,888,3714233.00,10600,28.27,4.95,-2.05
20-September-2012,99.80,104.50,97.10,97.70,100.994287777814254292,91383,1802,9229161.00,20156,22.06,7.40,-2.10
18-September-2012,94.35,99.65,91.45,97.10,96.012675746233447614,31793,529,3052531.00,16280,51.21,8.20,2.75
17-September-2012,96.50,97.35,92.40,92.75,93.996092709350856939,11261,326,1058490.00,4287,38.07,4.95,-3.75
14-September-2012,97.90,98.25,95.40,95.70,96.863617071445413817,21205,603,2053993.00,11297,53.28,2.85,-2.20
13-September-2012,99.80,100.50,95.05,95.90,98.367288489821193590,25838,580,2541614.00,8673,33.57,5.45,-3.90
12-September-2012,96.80,100.90,93.00,98.10,98.446786807208432505,76466,1834,7527832.00,17343,22.68,7.90,1.30
11-September-2012,99.65,101.60,95.00,95.25,98.785094000026275339,76117,1669,7519225.00,20060,26.35,6.60,-4.40
10-September-2012,98.50,102.70,95.70,99.30,99.563216988465439892,286877,4799,28562397.00,35015,12.21,7.00,0.80
8-September-2012,90.00,94.85,90.00,93.85,93.461528089887640449,22250,517,2079519.00,7894,35.48,4.85,3.85
7-September-2012,92.10,94.80,90.50,91.00,92.745403533906399235,33504,681,3107342.00,7833,23.38,4.30,-1.10
6-September-2012,97.90,97.90,90.80,91.70,94.127325108035322853,95802,1795,9017586.00,16331,17.05,7.10,-6.20
5-September-2012,86.10,99.50,85.95,96.60,96.171703204209432746,415828,6531,39990887.00,37288,8.97,13.55,10.50
4-September-2012,86.20,89.75,85.25,85.80,87.743522178304787000,29601,699,2597296.00,4361,14.73,4.50,-0.40
3-September-2012,85.60,90.40,84.70,85.50,88.144576253803288776,29251,683,2578317.00,3928,13.43,5.70,-0.10
31-August-2012,85.55,86.80,83.00,84.55,84.579940652818991097,8425,219,712586.00,4454,52.87,3.80,-1.00
30-August-2012,87.80,88.40,83.45,84.40,86.005629704598646340,15809,400,1359663.00,4041,25.56,4.95,-3.40
29-August-2012,83.00,91.25,82.50,87.95,88.841527933816770503,97910,2299,8698474.00,12802,13.08,8.75,4.95
28-August-2012,88.45,88.45,82.60,83.00,84.064920204757603131,16605,332,1395898.00,7305,43.99,5.85,-5.45
27-August-2012,92.00,92.45,84.60,85.20,88.225711481844946025,11209,359,988922.00,5527,49.31,7.85,-6.80
24-August-2012,97.50,97.50,90.10,90.60,93.527406962785114045,83300,1573,7790833.00,10592,12.72,7.40,-6.90
23-August-2012,82.95,98.20,82.90,96.25,93.329041941953025996,406395,6864,37928456.00,32794,8.07,15.30,13.30
22-August-2012,83.50,83.50,82.55,82.60,82.903420523138832997,994,21,82406.00,795,79.98,0.95,-0.90
21-August-2012,83.10,84.45,81.70,82.15,82.645115351751637710,3511,118,290167.00,1932,55.03,2.75,-0.95
17-August-2012,83.00,86.25,81.25,81.80,83.736498516320474777,8425,215,705480.00,1456,17.28,5.00,-1.20
16-August-2012,82.45,83.20,81.80,82.25,82.514550264550264550,1512,55,124762.00,576,38.10,1.40,-0.20
14-August-2012,83.50,84.20,82.00,82.50,83.384386174016686531,1678,81,139919.00,598,35.64,2.20,-1.00
13-August-2012,84.00,85.55,82.65,83.20,84.185018419975440032,7329,291,616992.00,1038,14.16,2.90,-0.80
10-August-2012,83.00,84.70,81.40,82.60,83.054845056566650270,4066,105,337701.00,1603,39.42,3.30,-0.40
9-August-2012,82.80,85.40,82.50,83.05,83.776179516685845799,1738,80,145603.00,299,17.20,2.90,0.25
8-August-2012,84.45,87.20,82.30,83.00,84.895199896493724932,7729,303,656155.00,1892,24.48,4.90,-1.45
7-August-2012,82.45,87.60,81.70,84.00,84.660175140504509214,15302,366,1295470.00,3526,23.04,5.90,1.55
6-August-2012,81.25,85.90,81.25,82.80,83.311362209667294413,3186,92,265430.00,1415,44.41,4.65,1.55
3-August-2012,81.05,83.65,80.00,82.15,82.265069924449445426,6221,131,511771.00,1249,20.08,3.65,1.10
2-August-2012,82.00,83.80,81.65,81.85,82.635420668459469842,2603,111,215100.00,1007,38.69,2.15,-0.15
1-August-2012,79.85,84.85,79.30,81.80,82.713780160857908847,9325,282,771306.00,2483,26.63,5.55,1.95
31-July-2012,80.00,80.00,79.00,79.00,79.636923076923076923,325,8,25882.00,275,84.62,1.00,-1.00
30-July-2012,80.50,81.30,79.00,79.85,80.182980277574872169,2738,110,219541.00,1464,53.47,2.30,-0.65
27-July-2012,81.35,83.70,78.30,78.60,80.931067044381491973,3177,94,257118.00,1623,51.09,5.40,-2.75
26-July-2012,85.00,85.85,80.05,80.95,82.287959009393680614,5855,146,481796.00,3668,62.65,5.80,-4.05
25-July-2012,85.80,85.80,83.80,84.55,84.619107217355027117,2397,70,202832.00,800,33.38,2.00,-1.25
24-July-2012,85.70,87.85,84.70,85.90,86.272918124562631210,4287,79,369852.00,1450,33.82,3.15,0.20
23-July-2012,86.60,86.60,85.00,85.65,85.941223510595761695,2501,86,214939.00,1694,67.73,1.60,-0.95
20-July-2012,88.70,90.70,86.20,86.65,88.648008068582955118,5949,159,527367.00,2984,50.16,4.50,-2.05
19-July-2012,88.30,91.05,87.00,88.35,89.275603920660646754,12957,335,1156744.00,5944,45.87,4.05,0.05
18-July-2012,87.75,90.00,86.10,87.45,87.872396085650615250,10321,243,906931.00,5345,51.79,3.90,-0.30
17-July-2012,88.00,91.80,85.70,87.95,89.851572327044025157,36570,742,3285872.00,9897,27.06,6.10,-0.05
16-July-2012,86.70,91.00,86.10,87.35,88.637298176327099546,17218,442,1526157.00,4032,23.42,4.90,0.65
13-July-2012,87.10,88.95,85.30,85.95,87.009828009828009828,6105,134,531195.00,3239,53.05,3.65,-1.15
12-July-2012,86.75,90.50,85.20,86.65,88.186538582281660074,15927,368,1404547.00,4443,27.90,5.30,-0.10
11-July-2012,87.95,91.85,86.15,87.25,89.886215485717314113,37738,733,3392126.00,9163,24.28,5.70,-0.70
10-July-2012,84.50,93.20,82.75,87.30,90.351222910364439694,104791,2283,9467995.00,18867,18.00,10.45,2.80
9-July-2012,84.30,84.45,82.10,82.70,83.017789265622624296,6577,147,546008.00,3777,57.43,2.35,-1.60
6-July-2012,86.00,86.80,84.00,84.20,84.868552412645590682,4808,167,408048.00,2859,59.46,2.80,-1.80
5-July-2012,89.80,89.80,85.85,86.20,87.191932949188056574,28635,564,2496741.00,9040,31.57,3.95,-3.60
4-July-2012,84.00,93.80,82.20,89.45,90.183347316126272845,243156,4119,21928622.00,33499,13.78,11.60,5.45
3-July-2012,78.20,83.00,78.20,81.40,81.290192830947592570,8453,169,687146.00,5021,59.40,4.80,3.20
2-July-2012,79.85,80.90,79.15,79.80,80.213309024612579762,1097,64,87994.00,730,66.55,1.75,-0.05
29-June-2012,79.45,82.00,78.25,78.90,79.999244827065397976,6621,200,529675.00,3062,46.25,3.75,-0.55
28-June-2012,79.30,79.30,77.30,77.55,78.349614395886889460,389,22,30478.00,327,84.06,2.00,-1.75
27-June-2012,78.80,79.05,78.10,78.25,78.464299498263218834,2591,83,203301.00,2100,81.05,0.95,-0.55
26-June-2012,79.25,79.85,78.00,78.40,78.788215488215488215,2970,145,234001.00,2792,94.01,1.85,-0.85
25-June-2012,80.50,82.65,78.60,79.10,79.832450331125827814,6040,165,482188.00,3072,50.86,4.05,-1.40
22-June-2012,80.00,81.45,78.55,79.65,80.158521036974075648,9412,288,754452.00,1830,19.44,2.90,-0.35
21-June-2012,78.05,81.20,77.15,80.35,79.872675664716445577,17263,409,1378842.00,8910,51.61,4.05,2.30
20-June-2012,77.55,80.70,77.00,77.85,78.415238891210474996,7179,247,562943.00,2504,34.88,3.70,0.30
19-June-2012,78.00,78.65,77.20,78.00,77.919505877664873480,5019,192,391078.00,3153,62.82,1.45,0.00
18-June-2012,80.10,81.40,76.90,77.50,79.892872903795233892,9064,210,724149.00,2408,26.57,4.50,-2.60
15-June-2012,81.00,82.95,78.75,79.50,80.905098435133770822,21791,419,1763003.00,5633,25.85,4.20,-1.50
14-June-2012,82.80,83.00,78.30,78.55,79.685132032146957520,3484,104,277623.00,2606,74.80,4.70,-4.25
13-June-2012,82.75,85.45,81.80,82.10,83.472153937441722471,11797,400,984721.00,3337,28.29,3.65,-0.65
12-June-2012,82.85,84.50,81.25,81.90,83.194251026602392429,5601,197,465971.00,2045,36.51,3.25,-0.95
11-June-2012,81.80,87.00,81.80,82.70,85.393738234419894976,20186,808,1723758.00,3504,17.36,5.20,0.90
8-June-2012,82.50,82.50,79.70,80.50,80.888518708354689902,3902,156,315627.00,1544,39.57,2.80,-2.00
7-June-2012,83.40,83.90,82.10,82.30,82.838613650861152455,4703,251,389590.00,2590,55.07,1.80,-1.10
6-June-2012,89.95,89.95,82.70,83.20,85.049428561127735515,27737,740,2359016.00,3252,11.72,7.25,-6.75
5-June-2012,79.50,91.15,77.05,86.20,87.820246807728817711,326570,5397,28679458.00,22094,6.77,14.10,6.70
4-June-2012,77.60,79.50,74.35,78.30,76.773072313224131042,2503,207,192163.00,810,32.36,5.15,0.70
1-June-2012,81.60,83.80,77.20,78.00,80.516380269501792557,8089,151,651297.00,2118,26.18,6.60,-3.60
31-May-2012,81.40,81.85,79.05,79.15,79.822376009227220299,1734,64,138412.00,1029,59.34,2.80,-2.25
30-May-2012,82.35,84.75,80.30,81.10,82.229583975346687211,3245,94,266835.00,1783,54.95,4.45,-1.25
29-May-2012,85.80,88.00,83.70,84.25,86.536709304363062905,11414,280,987730.00,2790,24.44,4.30,-1.55
28-May-2012,86.80,87.95,84.00,85.55,86.280198991031390134,14272,359,1231391.00,4808,33.69,3.95,-1.25
25-May-2012,77.45,90.95,76.85,85.70,86.951287586738627602,64850,1615,5638791.00,9741,15.02,14.10,8.25
24-May-2012,79.15,79.80,77.60,77.95,78.628310502283105022,1095,48,86098.00,848,77.44,2.20,-1.20
23-May-2012,80.40,80.90,77.90,78.80,78.711019490254872563,2668,63,210001.00,1545,57.91,3.00,-1.60
22-May-2012,82.90,82.95,78.55,78.95,80.510912698412698412,2016,68,162310.00,1342,66.57,4.40,-3.95
21-May-2012,82.00,84.00,81.35,81.95,82.752251155999026527,4109,72,340029.00,1597,38.87,2.65,-0.05
18-May-2012,86.90,86.90,81.90,82.55,84.019061066007765619,14165,264,1190130.00,4766,33.65,5.00,-4.35
17-May-2012,82.65,89.40,82.65,86.90,87.850672750369429393,38573,603,3388664.00,15980,41.43,6.75,4.25
16-May-2012,84.25,87.50,81.70,82.20,84.177714825306893295,10590,211,891442.00,2790,26.35,5.80,-2.05
15-May-2012,82.90,85.00,82.40,83.45,83.566844919786096256,8976,129,750096.00,3688,41.09,2.60,0.55
14-May-2012,84.45,86.00,82.20,82.50,84.663061206970555412,11649,181,986240.00,2102,18.04,3.80,-1.95
11-May-2012,85.45,85.45,83.05,83.85,83.904169259489732420,1607,30,134834.00,1190,74.05,2.40,-1.60
10-May-2012,84.85,88.45,84.00,84.50,85.287652645861601085,2948,62,251428.00,555,18.83,4.45,-0.35
